username,tanggal_ulasan,komentar
Ritom Gunawan,3 tahun lalu,
Hana hans,3 tahun lalu,
Kiara Paramita Octaviani,3 tahun lalu,"Pertama-tama, Sushi Tei terletak tepat di depan jalan yang ramai, jadi google map mengarahkan saya ke sebuah gang tepat di sebelahnya, jadi lebih baik parkir mobil Anda di sana. Saat itu hari Sabtu malam ketika saya datang, jadi rumah …"
Theo Christopher,3 tahun lalu,"Mantep banget, lumayan pricey tp gamasalah karna abis gajian, lumayan lah buat abis2in duit gajian, nanti tengah bulan siap2 burjo manggala lagi 👍👍👍 …"
Dita Tiara,3 tahun lalu,
Gerent Maulin,3 tahun lalu,
Vidi Raharja,3 tahun lalu,Susi yg ga abal abal
Muhamad Nur Faidzin,3 tahun lalu,
Wiku Pamungkas,3 tahun lalu,Sushi terbaik di Yogya sejauh ini...agak mahal tapi worth it...lagipula ada harga untuk kualitas...
substitute,3 tahun lalu,provides sushitei menu ranges as u know it. cuma tempatnya standalone jadi nyaman bgt. parkir luas. waktu kesana lagi ada syuting tapi gak terganggu sama sekali
Hiruya Saiwai,3 tahun lalu,"Jika Anda ingin sushi, silakan pergi ke restoran ini.
Menurut saya harganya tidak terlalu mahal, jadi saya makan banyak item menu yang berbeda. Rasanya cukup enak. …"
Junaidi Effendi,3 tahun lalu,"nyaman  , enak , tempat parkir terbatas"
Wijadi Kurniawan,3 tahun lalu,
Anggi Prastianto,3 tahun lalu,
NF N,3 tahun lalu,
Duanna Purnamasari,3 tahun lalu,
Hamzah Ipul,3 tahun lalu,
Febryan Mujahid,3 tahun lalu,Enaknya mimta ampun
Kra6689011 Unit,3 tahun lalu,
aniis kurnia,3 tahun lalu,
ocha chao,3 tahun lalu,
# sepinalar,3 tahun lalu,
Sekar Paramita Wardani,3 tahun lalu,
Arifin Arifin,3 tahun lalu,"Sushi nya enak. Pricey of course, but worth it. pelayanannya juga baik, makanan yang diorder datang tepat waktu, good management"
Sandi Eka Saputra,3 tahun lalu,
Zefa Dhia,3 tahun lalu,"Sushi paling enak di Jogja, bagaimana dengan pelayanannya? Sangat bagus! Anda tidak akan pernah marah! Anda harus mencoba teriyaki kepala salmon, super enak dan harganya hanya 49K/porsi... dan kualitasnya bagus! 👍🏼👍🏼👍🏼 Dan bagian terbaiknya... terkadang mereka mengadakan promosi! …"
Ahmad Reski Awaluddin,3 tahun lalu,
Marinda Ghaisani,3 tahun lalu,Tidak diragukan lagi sushi dan masakan Jepang yang lezat. Sepadan dengan harganya
Elmo KenthOS,3 tahun lalu,"Restoran terbaik yg pernah saya kunjungi untuk urusan sushi dan sashimi di jogja. Di jogja, rata2 hanya jual sushi, d sini salah satu tempat yg juga jual sashimi, jadi kalau ke sini ya pesennya sashimi. Paling nyoba sushi satu piring. …"
Wahyu Safitri,3 tahun lalu,
RINDU ALLAH,3 tahun lalu,Bagus
merry mslm,3 tahun lalu,
Dewanto Suryoningrat,3 tahun lalu,
Fitria Yudanti,3 tahun lalu,
Titik Rusmiati,3 tahun lalu,
Oka Mahendra,3 tahun lalu,"Kurang bisa ngepasin waktu nyajiin saat buka puasa,ud dibilangin buat buka puasa malah ud dikeluarin jam 5,makan ramen dingin dah😴 …"
Angga Sirait,3 tahun lalu,
Falkhan Barizi,3 tahun lalu,
Bg Jm,3 tahun lalu,
Jatmiko Wae,3 tahun lalu,"Letaknya ada di jalan Afandi di jogjakarta, sebenernya tidak terlalu istimewa karena memang sushi tei ya dimana mana sudah punya standar yang sama. Kelebihannya tempat parkir cukup nyaman dan berada di pinggir jalan raya. Oiya ada di …"
Risna Nilam,3 tahun lalu,
Saifulloh AM,3 tahun lalu,Parkirnya yg kurang memadai
fenty soedjoed,3 tahun lalu,
rizki bachtiar,3 tahun lalu,
fajar setiaji,3 tahun lalu,Enakk
aris santoso,3 tahun lalu,"Makanannya enak, tempatnya bersih, akses mudah."
Danang Purwoko R,3 tahun lalu,Adem
Ido Guides,3 tahun lalu,"Kalau lagi bosan makan makanan tradisional dan pengen makanan jepang, nggak pernah salah kalau kesini. Banyak kenangan manis disini, dulu habis lebaran dan liburan ke jogja, tujuan pertama kesini. Karena anak2 pengen banget makan sushi dan …"
panjie bagong,3 tahun lalu,Rasa standar
Jinnat Baby,3 tahun lalu,Mantap masakannya
Dennis Suryawijaya,3 tahun lalu,
Daniel Putra,3 tahun lalu,Chicken karage saladnya mantap!
Azyumardi Azra,3 tahun lalu,
boim ajah,3 tahun lalu,Untuk makan Sushi itu enak
Yoza rizki saputra,3 tahun lalu,
Sukron Rizkya,3 tahun lalu,Sushi tei okee
Fadly,3 tahun lalu,
Susetyo Hario Putero,3 tahun lalu,
Qonita Aulia R,3 tahun lalu,Ya! Sushinya banyak sekali. Layanan hebat - sejak kami memasuki resto hingga pembayaran selesai. Parkir valet juga tersedia.
Patricia Jessica,3 tahun lalu,
deswa sang,3 tahun lalu,
Budi Santoso,3 tahun lalu,
Yulia Nugraheni,3 tahun lalu,"Si Kakak suka sushi, oke.. Si adek suka mie mie an, oke"
Citra Ayu Larasati,3 tahun lalu,
Sri Sumarni,3 tahun lalu,
Ricky Arofi,3 tahun lalu,
Debora Wintriarsi,3 tahun lalu,
Tiyaswiyoso,3 tahun lalu,
wedos jr,3 tahun lalu,
Nurul Enggar,3 tahun lalu,Olahan salmon nya juara sih ❤️
Wahyuningsih Puspito,3 tahun lalu,Menu masakan japan authentic
"drg. Rudy Wijayanto, MDSc, Sp.Perio",3 tahun lalu,Sushi terbaik di Yogya
Chandra Hasan,3 tahun lalu,Nah.. jika kamu suka sushi.. ini tempatnya.. tapi ingat.. ini sushi.. artinya semuanya mentah...
Anindita Farda,3 tahun lalu,
Fani Ard.,3 tahun lalu,
Melda Rio,3 tahun lalu,
Sie Isnadys,3 tahun lalu,Shusi tei makanan khas dari jepang
arittani swastiningsih,3 tahun lalu,
Arief Rahman,3 tahun lalu,Oke
Mellvin Ban sleman,3 tahun lalu,
Nova Ulyaa,3 tahun lalu,
ongky christanto,3 tahun lalu,
Alfia Sabrina,3 tahun lalu,
Aa “Djman”,3 tahun lalu,Discount makan di tempat untuk item tertentu sampai 12 april 2021
Adib Alfikri,3 tahun lalu,
Nugrahaeni Budianti,3 tahun lalu,Ngangeni... beda dengan sushi lainnya
dahniar dahniar,3 tahun lalu,
Liza Virgi,3 tahun lalu,
Alice Chen,3 tahun lalu,Rame bgt...1p
Endy Js,3 tahun lalu,Tidak pada tingkat layanan terbaik
anggita filans,3 tahun lalu,Makanan Jepang terlezat yang pernah ada
Anindya R Prakasita,3 tahun lalu,
Sinsin Wahyuni,3 tahun lalu,
Eri Krismiya,3 tahun lalu,
Zahra Ayu Prabaningrum,3 tahun lalu,
Jordy Fohman,3 tahun lalu,Sushi Enak sesuai dengan harganya 👍 …
danis ardee,3 tahun lalu,tempat yang bagus
Rizqie Maulana,3 tahun lalu,"Sering ramai, kualitas makanan baik, pelayanan baik, parkir mobil terbatas"
Andri Rahardja,3 tahun lalu,"Makanan enak, sedikit mahal"
Re Gir,3 tahun lalu,
Rosa Luckyta,3 tahun lalu,
Gareza Alfathan,3 tahun lalu,
yubi muhwan,3 tahun lalu,Secangkir Musi diacungi jempol
Nindicha Dwitananda,3 tahun lalu,
Deyla Prajna,3 tahun lalu,tidak bisa berkata kata lagi karena kekenyangan
Dwie Aditya,3 tahun lalu,
Hyun Sook Shin,3 tahun lalu,
S.H. Berman Pasaribu,3 tahun lalu,
Agnes Constantie Abigail Tamrin,3 tahun lalu,"Sushinya enak. Saat jam makan siang, perlu waktu untuk mengantri banyak."
dwi irfan,3 tahun lalu,"Gw penggemar sushi tei, di jakarta biasa makan di GI/PI/Sency. Ntah kenapa pas di jogja rasanya beda?? Terutama nasinya 😔. Gw kira awalnya krn pesen via gojek rasanya jd beda krn ga fresh. Trnyata emang pas makan di restonya, rasa ga seenak di jkt dan nasinya bikin sushi tei macem sushi2 kaki 5. Sorry. Mungkin untuk perbaikan kedepanya …"
Kharisma Cendhika Putra,3 tahun lalu,Sushi terbaik di kota
Dimas Aji,3 tahun lalu,Yang terpenting Halal lokasi depan RRI
Agus setiawan,3 tahun lalu,
Agung Priatmodjo,3 tahun lalu,Sushi yang bener2 authentic sushi nih
Henry Siregar,3 tahun lalu,
Renni Rahmadani,3 tahun lalu,Sukaak rasa enak (ada harga ada rasa ya) tmpt nyaman menerapkan prokes harga sesuai lah sama rasa.
tansxe,3 tahun lalu,
Kharin Nindya,3 tahun lalu,
Indah Putri,3 tahun lalu,
Ririz Rahmadani,3 tahun lalu,"Sushi terbaik di kota! harga sangat worth it dengan rasa dan kualitasnya! harganya cukup mahal untuk pelajar, jadi saya merekomendasikan yang ini untuk keluarga/orang dewasa karena kamu butuh uang untuk makan sushi di sana. …"
Fryda Frelia 4499,3 tahun lalu,
tiara charisma,3 tahun lalu,Sushi terbaik di kota
lendra avgeek,3 tahun lalu,
RIZAL,3 tahun lalu,Okelah
robert wibisono,3 tahun lalu,Makanannya enak
JSS GLTM,3 tahun lalu,
Robby Santoso,3 tahun lalu,
Moeljono Hadi,3 tahun lalu,Mantab cocok selera nya & setara dgn harganya... selain sushi zan mai sushi tei sbg rekomen haojek
kadek oki febrian,3 tahun lalu,
Handri Wirastomo,3 tahun lalu,
LekGiyo Uyek,3 tahun lalu,Manteb pokoknya pengen makan tiap hari
Surya Adhi,3 tahun lalu,
vincentius suryadi,3 tahun lalu,
Marfa Antiq,3 tahun lalu,Saya suka tempat ini
Yehezki Devanis,3 tahun lalu,
Vigi Verindo,3 tahun lalu,Selalu ramai dan sesuai protokol
Nadya Permata,3 tahun lalu,"Rasanya enak.
Tempat yang nyaman.
Layanan hebat.
Mentainya sangat bagus"
Gabriella Christie,3 tahun lalu,
Rafael Raditya Hernanda,3 tahun lalu,Enak
Ary Juwono,3 tahun lalu,"Tempatnya nyaman u nongkrong , sushinya makyuss"
Wahyu Naryo,3 tahun lalu,
Lupita Triani,3 tahun lalu,
ranosangka,3 tahun lalu,"Makanan OK, pelayanan perlu ditingkatkan. Customer yang datang duluan seharusnya didahulukan..."
Wahyu Raditya,3 tahun lalu,Saya selalu order mabotofu udon di sushi tei kota manapun yg saya mampir (kalo ada sushi tei). Disini saya coba kurang mantap.
Joan Nurmalita,3 tahun lalu,enak.. dan mahal 👍😂 …
Pasha Aiga,3 tahun lalu,
puput wahyudi,3 tahun lalu,
Noor Habibbah,3 tahun lalu,Menu inari dan idako selalu favorit
Bernadus Adi,3 tahun lalu,Terbaik
Ma'rifah Kusuma Asmara,3 tahun lalu,
Suna Ryadi,3 tahun lalu,"Makanan enak2, fresh.
Bawa jaket kalau ke sini, setting ac selalu ""terlalu dingin""."
Suma Wardhen,3 tahun lalu,"Tidak. Enak.. Suasananya enak, rasanya enak, makanannya segar, enak dan harganya murah. Silahkan dicoba.. Besok saya kesini lagi sambil jogging"
haryoko insan amin,3 tahun lalu,Enaks..dah gitu aja
Nimas Suri Martiana,3 tahun lalu,
Eko Nuriyanto,3 tahun lalu,
W M,3 tahun lalu,
Nuri Andayani,3 tahun lalu,
Antonia Iccha,3 tahun lalu,
Syariva Alriyani,3 tahun lalu,
Abror Muhammad,3 tahun lalu,
Tyo Nugroho,3 tahun lalu,
Ahmad Ismi Maulana,3 tahun lalu,"Tempatnya cozy banget, cocok buat makan sama keluarga"
Papa Ayra Arfin,3 tahun lalu,
gojek jogja,3 tahun lalu,Bagus bersih
Coach Ali Shah,3 tahun lalu,"Sushi lezat, Tempat bagus & bersih, hidangan lainnya enak, area parkir tersedia, layanan bagus, kontrol bagus. …"
afifia najih,3 tahun lalu,Yaaaa enak lahhh.. ada harga ada rupa.
Kartika Soetardi,3 tahun lalu,Selalu suka makan di sini. Tapi takoyaki keju buat saya kurang recomended. Saus kejunya tidak enak. Rasanya seperti pasar yang menjual satu liter.
Irma Mustafa,3 tahun lalu,Datang lagi kesini masih masa pandemi jadi jumlah pengunjung dibatasi begitu juga sushi yang disajikan di  conveyor belt  sangat minim hanya beberapa piring saja utk standar protokol kesehatan covid 19 sudah bagus untuk cita rasa masih …
Olivia Maria,3 tahun lalu,
YD Kr,3 tahun lalu,"Baru kali ini ke restoran mewah, securitynya nagih(ngemis-red) uang parkir tanpa malu. …"
Aditya Prabowo,3 tahun lalu,
edy suryanto,3 tahun lalu,
Jalu Prawitro,3 tahun lalu,Itu sangat bagus
Thomas Danang Setiawan,3 tahun lalu,Oke
Suwandi Wandi,3 tahun lalu,
gean juniwan,3 tahun lalu,
Nafi' Azmina,3 tahun lalu,
Aheli Seno,3 tahun lalu,
Amalia Ra,3 tahun lalu,
Tiffany Noni,3 tahun lalu,
cannia ramadhiani,3 tahun lalu,enaaak..yaa tapi mahal
Frisca Ayu Widyaningrum,3 tahun lalu,
Ayu Larasati Sukarno,3 tahun lalu,Masih tempat makan sushi terbaik yg pernah ku coba. Dan hati tenang krn sudah halal mui😍 …
Shafira Saravina,3 tahun lalu,"Favorite sushi in town.
Must order :
- inari …"
Ismun Roji,3 tahun lalu,
Sonya Setya Gama,3 tahun lalu,Enak~
mahardhika derana,3 tahun lalu,
Caecilia Dewi,3 tahun lalu,
Muhammad Khabibullaah,3 tahun lalu,
patna citra pratiwi,3 tahun lalu,"The best sushi resto in town🤩 tempatnya nyaman, ga bising, bener2 proper buat makan bareng orang2 terkasih, pilihan menunya banyak dan lengkap, semua menunya gaada yg failed. Semuanya enak. Minumannya super seger semuanya, cocok banget abis …"
Yudha Bima Prasetyo,3 tahun lalu,
My Channel Dhar,3 tahun lalu,
Eny Rustiya,3 tahun lalu,Tempat yang bagus
Nur Pancha Putra Batubara,3 tahun lalu,"Tempat paling recommended untuk menikmati sushi di Jogja, rasa sangat mantap apalagi salmon sashiminya. Tidak hanya sushi disini tersedia juga tersedia berbagai menu sashimi dan untuk harga masih worth it dengan taste nya. Terkadang …"
Loveza defic,3 tahun lalu,
Suryati Ade Rita Purba,3 tahun lalu,
Kang Jay,3 tahun lalu,
dunia maya,3 tahun lalu,"Sushi tei selalu enak-enak menunya. Fav tetep stamina roll, salmon belly soup, dynamite roll .. prokes banget slm pandemi ini, good"
novita windasari,3 tahun lalu,
Stanislaus Cipto,3 tahun lalu,
Dhimas Aulia Rochman,3 tahun lalu,"mantappp,"
Steve Wirawan,3 tahun lalu,"Kalo berkunjung ke jogja dgn keluarga sering mampir kesini.... tempat nya bersih + nyaman, pelayanan nya juga memuaskan! 👍 …"
Harun Basuci,3 tahun lalu,
Laskar kristin zebua,3 tahun lalu,"Ada berbagai rasa,cocok untuk ngajak pacar,harga sekitar 35 an,bagus dan nyaman"
adrian setra,3 tahun lalu,
Dwi Sri Safitri,3 tahun lalu,
Tonzcruz Barbershop,3 tahun lalu,
Dradjad Uripno,3 tahun lalu,makanan Jepang
Iqbal Anshari,3 tahun lalu,
Indartanta Pd,3 tahun lalu,Enak
Ummi Ummah,3 tahun lalu,
eri setiyono,3 tahun lalu,
Dian Hayu,3 tahun lalu,
Miatno Miat,3 tahun lalu,
Fauzan Amany Rafa Hadi Wijaya,3 tahun lalu,"Tempat luas, tersedia banyak tempat duduk, tersedia banyak menu, pelayanan sangat bagus dan sangat ramah"
Muhammad Urfi Amrillah,3 tahun lalu,
galih PUTRO,3 tahun lalu,"Rasa dan harga menu worth it
Mantap
Mushola bisa lebih luas agar ibadah lebih nyaman"
Fanny Muhammad Ichsan,3 tahun lalu,Tempat terbaik untuk makan sushi bersama keluarga atau teman
Syofanir Tanjung,3 tahun lalu,Lumayan...termasuk pelayannya cukup memuaskan
Albertus Agung Santosa,3 tahun lalu,😍😍😍 …
FEBTIA NUR KHOFIFAH.,3 tahun lalu,
dyah hapsari_,3 tahun lalu,"Tempat yang bagus, makanan enak"
Krisna Dini Septiani,3 tahun lalu,
vincent suprana,3 tahun lalu,Tidak apa-apa...
Andreas Abednego,3 tahun lalu,
Septi ayu ramadhani Kelas 7A,3 tahun lalu,
Leo Andrea Avellini,3 tahun lalu,Segar dan berkualitas.
Raedi Luzman,3 tahun lalu,"Saat pandemi tempat nya sangat social distancing. Makanan std sushi tei, enak!"
yudha prabowo,3 tahun lalu,
ardiyanto agung nugroho,3 tahun lalu,lezat..
Danny Reonaldo,3 tahun lalu,
Sandro Maulin,3 tahun lalu,Aku sange sama kasir perempuan'nya..
drg suryono,3 tahun lalu,
Haidar Muhammad,3 tahun lalu,"Bagus tempat nya. Dari segi rasa kata kakak saya yg pernah tinggal di jepang lumayan otentik. Tambah2annya juga lengkap, ada acar jahe, wasabi, hanya saja kalau buat saya yang agak bikin mikir jelas dari segi harga"
Afini Mu'awanah,3 tahun lalu,Bagi pecinta makanan jepang wajib mampir kesini.
Susantisun Susantisun,3 tahun lalu,
Kadek Yuliawan,3 tahun lalu,Enak...
M Vivi,3 tahun lalu,"Tuna, salmon, dan kaviar sungguh luar biasa (untuk pembekuan biru). Meleleh di mulut, rasanya lembut.😋
Namun hidangan seperti nabe dan ramen tentu jauh dari ideal.
Stafnya luar biasa. Semuanya sangat bersih.✨✨✨ …"
yuni hananta Himawan,3 tahun lalu,
endrico yogaswara,3 tahun lalu,
Affi Aditya Khresna,3 tahun lalu,Protokol CHSE
Indri Safira Noviyanti,3 tahun lalu,Selama pandemi hanya bisa dine in sampai jam 19.00
Djohan Rahmadhani,3 tahun lalu,Tempat nyaman seperti di jepang
Nanda Widyatama,3 tahun lalu,
Rendra Setyawan,3 tahun lalu,
Muryati Yanti,3 tahun lalu,"Tempatnya nyaman bgt, ada harga ada rasa,  servicenya juga memuaskan. Baru saja masuk sudah disambut dengan ramah, untuk kecepatan hidangan tergantung yang kita pesan. Oiya disini free reffil ocha, sepuas kalian sampai kembung juga boleh hahaha. Love it! ♪ ♬ ヾ(´︶`♡)ﾉ ♬ ♪"
Hastono Bayu Trisnanto,3 tahun lalu,
Damar Ardi Riandoko,3 tahun lalu,Makanan enak harga bagus
Locl Bbt,3 tahun lalu,
Daniel Setio,3 tahun lalu,"Standar resto sushi tei ...
Enak ...
Memenuhi prokes .... …"
Ichlasul Rakha,3 tahun lalu,
Nopi Widiawati,3 tahun lalu,
tomeng maryono,3 tahun lalu,Recomended unt urusan sushi....
Rendy Maulana,3 tahun lalu,"Satu satunya sushi tei di Jogja, acnya dingin"
Dunia Gesang Janaloka,3 tahun lalu,
Jujuk Arif,3 tahun lalu,
Nina,3 tahun lalu,"semuanya enak, pelayanannya luar biasa 👍🏻 …"
Marsilea,3 tahun lalu,
Yossi 99,3 tahun lalu,
budi yanta,3 tahun lalu,
Agustina o Rosiane,3 tahun lalu,"Sushi Tei emang gausah diraguin secara rasa. Di Jogja ini kayaknya cuma ada 1 cabang. Tapi tempatnya luas sih, ac nya dingin banget, cuma parkirannya aja yg sempit."
Fenna -Syifa-,3 tahun lalu,"Tempat ny asik,apa lg kmrn dpt dlantai atas cm kami br-6,,kyk private room..☺"
Arya Donn,3 tahun lalu,"Bagus n bersih, rasanya enak, harga logis, pelayanan bagus"
Akun Driver,3 tahun lalu,
Alkhan Kayla,3 tahun lalu,
Vincent Ardita,3 tahun lalu,
In dar,3 tahun lalu,
Christian Gumala,3 tahun lalu,Tempat nyaman untuk business lunch
Antoni Vanzer,3 tahun lalu,Pelayanan nya istimewa
Syarief Rochmad,3 tahun lalu,
Fransis Xavier Satriyo Dwi Nugroho,3 tahun lalu,tempat yang bagus untuk sushi
Chandra Hartanto,3 tahun lalu,"Resto Sushi Tei yang entah kenapa berasa cocok sekali di lidah.
Berasa beda dengan yang di kota lain. Karena disesuaikan dengan taste atau lidah ""wong jowo"" kah? …"
Putri nurmentari,3 tahun lalu,"Pelayanan Karyawan ya sebagian  kurng ramah, lain sama yang ada dimedan ."
satrio saputro,3 tahun lalu,Restoran sushi pilihan
R. Ade Rahmawanto,3 tahun lalu,Pelayanan bagus dan ramah.bisa dipesan melalui aplikasi gojek.
Liston Octoberry,3 tahun lalu,
amaani zahwa,3 tahun lalu,
terito 210,3 tahun lalu,"sudah tidak usah diragukan lagi bagi penggemar masakan jepang , hehheehehehheehe"
Muhammad Ivan Pratomo,3 tahun lalu,"Enak, tenpat parkir di depan nya tdk terlalu luas jd harus mutar ke belakang"
Nurtyana Utami Dewi,3 tahun lalu,
Dady Dai,3 tahun lalu,Tempat pakir aga susah ya..lahan pakir kurang..sama lama penyajian waktu itu aga ramai
Abdul Rahmat,3 tahun lalu,"Restoran ini adalah salah satu tempat yang menakjubkan untuk mencicipi masakan Jepang di kota ini. Namun, saya menyukai situasi, layanan, dan harga terbaik."
Supriadi Hardianto,3 tahun lalu,Selalu puas makan sushi yg fresh disini.
Z RamaDANA,3 tahun lalu,
nuniek mulatsih,3 tahun lalu,Ramen nya porsi besaaarrr
Slamet Salma,3 tahun lalu,
alfian achfas,3 tahun lalu,
Dewi Setyawati,3 tahun lalu,
DANIEL Pakpahan,3 tahun lalu,Mahal tapi sesuai dgn rasanya
andy mukram,3 tahun lalu,
yusticia arif,3 tahun lalu,👍👍 rasanya enak... …
lolla obett,3 tahun lalu,
Hendry,3 tahun lalu,
Frideswinda R. Widyasmoro,3 tahun lalu,
Mitha Shafraa,3 tahun lalu,Bagi saya sushi tei di jogja adalah tempat terbaik untuk sushi
Sedek,3 tahun lalu,Bagus sekali. Halal. Thayyib
Maria Septi,3 tahun lalu,
Liung Fuk,3 tahun lalu,
Evita Tuty Nurjayanti,3 tahun lalu,
kharisma anindhita,3 tahun lalu,"Makanan enak walau agak overpriced.. Banyak promo dari bank tertentu, terutama BRI"
iim hs,3 tahun lalu,Ada promo kaget!
Anggi Pangestuti,3 tahun lalu,Tempat yang bagus 👍🏻👍🏻 …
Daya Tista,3 tahun lalu,
Aditya Putra Setiawan,3 tahun lalu,Sushi terbaik di kota
Arti Pratiwi,3 tahun lalu,
Gabrielle Saputro,3 tahun lalu,salah satu sushi terbaik di yogyakarta
Harrys Guntarwan,3 tahun lalu,
Yulianto Nugroho,3 tahun lalu,
eddy efendy,3 tahun lalu,Selalu rasa Jepang
cahyo budi,3 tahun lalu,
intan razari,3 tahun lalu,
Jecky Laluna,3 tahun lalu,
Dimas Raden,3 tahun lalu,"selalu suka makanannya, ketika saya datang ke sini, mereka menyajikan wasabi yang enak!!!"
Athaya Muhan,3 tahun lalu,
achmad bagus chatami,3 tahun lalu,"Enak, standard suhi tei"
Hermawan Puji Susanto,3 tahun lalu,Mantappp sunggu mengenyangkan
Richa Octavinanza,3 tahun lalu,
Dyah Martvinindita,3 tahun lalu,
12_Elizabeth Antonio,3 tahun lalu,Makanan disana sangat enak
M. Fauzi Setyadi,3 tahun lalu,"Rekomendasi buat pecinta sushi yg real sushi dg berbagai macam jenis sushi. Ada conveyor beltnya juga selain yg di menu, ada juga paket kapal yg isi berbagai sushi utk keluarga. Untuk harga agak pricey tp worth to try"
Daniel Zhenius,3 tahun lalu,
Alfian Adi Nurrahman,3 tahun lalu,"Satu-satunya restoran dine-in Sushi Tei di Jogja. Sukses terus, dan semakin berkembang di kota Jogja"
Edi Santosa,3 tahun lalu,Tempatnya strategis
Sihar Black,3 tahun lalu,
Muhammad Rizky,3 tahun lalu,Restoran Jepang modern
dega trianggoro,3 tahun lalu,
Julius Yusdianto Hartono,3 tahun lalu,Sushi Jepang premium
Kresna Girindra,3 tahun lalu,
gilar jo,3 tahun lalu,sushi enak
Hari Suparwito,3 tahun lalu,Sushi terbaik di Yogyakarta
febria valentia,3 tahun lalu,Dari dulu sushitei selalu dihati
wiwik indriani,3 tahun lalu,
Radita Anjar,3 tahun lalu,Puas banget
Adit Baskoro,3 tahun lalu,Tidak bisa dikontak
Ludhvi Priyambada,3 tahun lalu,
Tegoeh W,3 tahun lalu,
Aris Trianto,3 tahun lalu,Jika
Endar Nugraha,3 tahun lalu,"Sushi tei selalu mampu menjaga nama besarnya tetap tinggi.
Kunjungan terakhir pada bulan Desember 2020, makanannya enak seperti dulu, tempatnya juga bagus dengan protokol Covid."
